event_id,city_name,country,region,registration_status,events_in_country,full_date,cluster,cluster_label
21,Buenos Aires,Argentina,South America,Past,1,2026-06-13,0,Active / Near-Term Markets
19,Brisbane,Australia,APAC,Past,5,2026-04-09,0,Active / Near-Term Markets
20,Brisbane,Australia,APAC,Past,5,2026-04-11,0,Active / Near-Term Markets
85,Perth,Australia,APAC,Past,5,2026-08-21,0,Active / Near-Term Markets
105,Sydney,Australia,APAC,On Sale,5,2026-07-01,0,Active / Near-Term Markets
116,Vienna,Austria,Europe,Past,1,2026-02-06,0,Active / Near-Term Markets
68,Mechelen,Belgium,Europe,Past,2,2026-03-26,0,Active / Near-Term Markets
35,Fortaleza,Brazil,South America,Past,4,2026-02-28,0,Active / Near-Term Markets
106,São Paulo,Brazil,South America,Past,4,2026-04-25,0,Active / Near-Term Markets
82,Ottawa,Canada,North America,Past,3,2026-05-14,0,Active / Near-Term Markets
10,Beijing,China,APAC,Past,10,2026-03-21,0,Active / Near-Term Markets
98,Shanghai,China,APAC,Past,10,2026-05-16,0,Active / Near-Term Markets
120,Wuhan,China,APAC,Past,10,2026-04-11,0,Active / Near-Term Markets
30,Copenhagen,Denmark,Europe,Past,1,2026-03-13,0,Active / Near-Term Markets
46,Helsinki,Finland,Europe,Past,2,2026-05-09,0,Active / Near-Term Markets
64,Lyon,France,Europe,Past,7,2026-05-20,0,Active / Near-Term Markets
78,Nice,France,Europe,Past,7,2026-02-12,0,Active / Near-Term Markets
83,Paris,France,Europe,Past,7,2026-04-23,0,Active / Near-Term Markets
111,Toulouse,France,Europe,Past,7,2026-03-19,0,Active / Near-Term Markets
13,Berlin,Germany,Europe,Past,6,2026-05-22,0,Active / Near-Term Markets
29,Cologne,Germany,Europe,Past,6,2026-04-16,0,Active / Near-Term Markets
48,Hong Kong,Hong Kong (China),APAC,Past,1,2026-05-08,0,Active / Near-Term Markets
12,Bengaluru,India,APAC,Past,3,2026-04-11,0,Active / Near-Term Markets
74,Mumbai,India,APAC,Sold Out,3,2026-09-18,0,Active / Near-Term Markets
76,New Delhi,India,APAC,On Sale,3,2026-07-24,0,Active / Near-Term Markets
53,Jakarta,Indonesia,APAC,Past,1,2026-06-27,0,Active / Near-Term Markets
16,Bologna,Italy,Europe,Past,5,2026-04-04,0,Active / Near-Term Markets
90,Rimini,Italy,Europe,Past,5,2026-05-28,0,Active / Near-Term Markets
