brand_name,city,event_name_raw,start_date,end_date,registration_status,sold_out_flag,source_note
HYROX,St. Gallen,WELL COME FIT HYROX ST GALLEN,2026-01-16,2026-01-18,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Manchester,MYPROTEIN HYROX MANCHESTER,2026-01-21,2026-01-25,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Amsterdam,HYROX AMSTERDAM,2026-01-21,2026-01-25,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Auckland,BYD HYROX AUCKLAND,2026-01-29,2026-02-01,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Phoenix,CENTR HYROX PHOENIX,2026-01-29,2026-02-01,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Osaka,AIRASIA HYROX OSAKA,2026-01-30,2026-02-01,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Turin,HYROX TURIN,2026-01-30,2026-02-01,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Vienna,CREAPURE HYROX VIENNA,2026-02-06,2026-02-08,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Guadalajara,SMART FIT HYROX GUADALAJARA,2026-02-07,2026-02-08,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Bilbao,HYROX BILBAO,2026-02-07,2026-02-08,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Nice,TRAINSWEATEAT HYROX NICE,2026-02-12,2026-02-15,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Istanbul,HYROX ISTANBUL,2026-02-13,2026-02-14,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Las Vegas,THE FEED HYROX LAS VEGAS,2026-02-20,2026-02-22,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Katowice,MARTES SPORT HYROX KATOWICE,2026-02-21,2026-02-22,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Fortaleza,HYROX FORTALEZA,2026-02-28,2026-02-28,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Taipei,HYROX TAIPEI,2026-02-28,2026-03-01,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Washington DC,HYROX AMERICAS CHAMPIONSHIPS WASHINGTON DC,2026-03-07,2026-03-08,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Glasgow,HYROX GLASGOW,2026-03-11,2026-03-15,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Copenhagen,HYROX COPENHAGEN,2026-03-13,2026-03-15,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Cancún,SMART FIT HYROX CANCUN,2026-03-14,2026-03-15,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Toulouse,HYROX TOULOUSE,2026-03-19,2026-03-22,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Bangkok,BYD HYROX BANGKOK,2026-03-20,2026-03-22,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Beijing,HYROX BEIJING,2026-03-21,2026-03-22,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,London,HYROX EMEA REGIONAL CHAMPIONSHIPS LONDON,2026-03-21,2026-03-22,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,London,HYROX LONDON,2026-03-24,2026-03-29,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Houston,CREAPURE HYROX HOUSTON,2026-03-26,2026-03-29,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Mechelen,HYROX MECHELEN,2026-03-26,2026-03-29,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Singapore,AIA HYROX SINGAPORE,2026-04-03,2026-04-05,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Miami Beach,LEGENDZ HYROX MIAMI BEACH,2026-04-03,2026-04-05,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Cape Town,VIRGIN ACTIVE HYROX CAPE TOWN,2026-04-03,2026-04-05,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Bologna,HYROX BOLOGNA,2026-04-04,2026-04-06,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Brisbane,BYD HYROX BRISBANE,2026-04-09,2026-04-13,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Bengaluru,ULTRAHUMAN HYROX BENGALURU,2026-04-11,2026-04-12,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Brisbane,BYD HYROX APAC CHAMPIONSHIPS BRISBANE,2026-04-11,2026-04-12,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Wuhan,HYROX WUHAN,2026-04-11,2026-04-11,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Rotterdam,HYROX ROTTERDAM,2026-04-15,2026-04-19,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Warsaw,HYROX WARSAW,2026-04-16,2026-04-19,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Cologne,ALL INCLUSIVE FITNESS HYROX COLOGNE,2026-04-16,2026-04-19,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Malaga,LEAPMOTOR HYROX MALAGA,2026-04-16,2026-04-19,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Monterrey,SMART FIT HYROX MONTERREY,2026-04-18,2026-04-19,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Paris,MAYBELLINE HYROX PARIS GRAND PALAIS,2026-04-23,2026-04-27,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,São Paulo,HYROX SAO PAULO,2026-04-25,2026-04-25,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Cardiff,HYROX CARDIFF,2026-04-29,2026-05-04,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Lisbon,HYROX LISBOA,2026-05-01,2026-05-03,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Hong Kong,CIGNA HEALTHCARE HYROX HONG KONG,2026-05-08,2026-05-10,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Helsinki,HYROX HELSINKI,2026-05-09,2026-05-10,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Ottawa,GOODLIFE HYROX OTTAWA,2026-05-14,2026-05-17,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Barcelona,BIOTHERM HYROX BARCELONA,2026-05-14,2026-05-17,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Heerenveen,HYROX HEERENVEEN,2026-05-14,2026-05-17,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Incheon,AIRASIA HYROX INCHEON,2026-05-15,2026-05-17,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Puebla,HYROX PUEBLA,2026-05-16,2026-05-17,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Shanghai,247 FITNESS HYROX SHANGHAI,2026-05-16,2026-05-17,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Lyon,CREAPURE HYROX LYON,2026-05-20,2026-05-24,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Berlin,GILLETTELABS HYROX BERLIN,2026-05-22,2026-05-31,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Rimini,HYROX RIMINI,2026-05-28,2026-05-31,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Riga,LEMON GYM HYROX RIGA,2026-05-30,2026-05-31,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,New York City,NYU LANGONE HEALTH HYROX NEW YORK,2026-05-28,2026-06-07,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Johannesburg,VIRGIN ACTIVE HYROX JOHANNESBURG,2026-05-30,2026-05-31,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Buenos Aires,HYROX BUENOS AIRES,2026-06-13,2026-06-13,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Stockholm,PUMA HYROX WORLD CHAMPIONSHIPS STOCKHOLM,2026-06-18,2026-06-21,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Jakarta,AIRASIA HYROX JAKARTA,2026-06-27,2026-06-28,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Sydney,BYD HYROX SYDNEY,2026-07-01,2026-07-05,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Hangzhou,HYROX HANGZHOU,2026-07-04,2026-07-05,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,New Delhi,MASTERS UNION HYROX DELHI,2026-07-24,2026-07-26,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Chengdu,TAOBAOSHANGOU HYROX CHENGDU,2026-08-01,2026-08-02,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Istanbul,HYROX ISTANBUL 2,2026-08-01,2026-08-02,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Chiba,AIRASIA HYROX CHIBA,2026-08-06,2026-08-09,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Cape Town,VIRGIN ACTIVE HYROX CAPE TOWN 2,2026-08-14,2026-08-15,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Shenzhen,TORRAS HYROX SHENZHEN,2026-08-15,2026-08-16,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Bangkok,BYD HYROX BANGKOK 2,2026-08-14,2026-08-16,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Perth,AIRASIA HYROX PERTH,2026-08-21,2026-08-23,Past,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Washington DC,AMAZFIT HYROX WASHINGTON DC 2,2026-09-03,2026-09-07,Coming Soon,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Santa Cruz de Tenerife,HYROX TENERIFE,2026-09-04,2026-09-06,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Athens,HYROX ATHENS,2026-09-05,2026-09-06,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Acapulco,MUNDO IMPERIAL HYROX ACAPULCO,2026-09-05,2026-09-06,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Beijing,HYROX BEIJING 2,2026-09-12,2026-09-13,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Maastricht,HYROX MAASTRICHT,2026-09-17,2026-09-20,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Mumbai,MASTERS UNION HYROX MUMBAI,2026-09-18,2026-09-20,Sold Out,True,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Salt Lake City,INBODY HYROX SALT LAKE CITY,2026-09-18,2026-09-20,Coming Soon,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,İzmir,HYROX IZMIR,2026-09-19,2026-09-19,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Rome,HYROX ROME,2026-09-24,2026-09-27,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Oslo,HYROX OSLO,2026-09-25,2026-09-27,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Bordeaux,INTERSPORT HYROX BORDEAUX,2026-09-30,2026-10-04,On Sale,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
